time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 16:39:02+02:00,,,,63.0,
2025-06-05 16:39:03+02:00,0.112,0.066,,,
2025-06-05 16:39:05+02:00,0.097,0.066,,,
2025-06-05 16:39:06+02:00,,,,62.0,
2025-06-05 16:39:08+02:00,0.077,0.066,,60.0,
2025-06-05 16:39:10+02:00,0.077,0.066,,,
2025-06-05 16:39:13+02:00,0.103,0.066,,,4.8
2025-06-05 16:39:16+02:00,0.103,0.066,,,
2025-06-05 16:39:17+02:00,,,,71.0,
2025-06-05 16:39:18+02:00,0.103,0.066,,,
2025-06-05 16:39:21+02:00,0.103,0.066,,,
2025-06-05 16:39:22+02:00,,,,71.0,
2025-06-05 16:39:23+02:00,0.077,0.066,,,
2025-06-05 16:39:25+02:00,,,,71.0,
2025-06-05 16:39:26+02:00,0.077,0.066,,,5.9
2025-06-05 16:39:28+02:00,0.137,0.066,,,
2025-06-05 16:39:31+02:00,0.137,0.066,,69.0,
2025-06-05 16:39:34+02:00,0.116,0.066,,,
2025-06-05 16:39:36+02:00,0.097,0.066,,,
2025-06-05 16:39:37+02:00,,,,64.0,
2025-06-05 16:39:39+02:00,0.097,0.066,,,
2025-06-05 16:39:41+02:00,0.097,0.066,,63.0,
2025-06-05 16:39:44+02:00,0.097,0.066,,,
2025-06-05 16:39:46+02:00,0.12,0.066,,65.0,
2025-06-05 16:39:49+02:00,0.12,0.066,,,
2025-06-05 16:39:51+02:00,0.12,0.066,,65.0,
2025-06-05 16:39:53+02:00,,,,64.0,
2025-06-05 16:39:54+02:00,0.116,0.066,,,
2025-06-05 16:39:57+02:00,0.116,0.066,,,
2025-06-05 16:39:59+02:00,0.103,0.066,,,4.8
2025-06-05 16:40:02+02:00,0.077,0.066,,61.0,
2025-06-05 16:40:04+02:00,0.077,0.066,,61.0,
2025-06-05 16:40:07+02:00,0.077,0.066,,,
2025-06-05 16:40:09+02:00,0.077,0.066,,,
2025-06-05 16:40:11+02:00,,,,63.0,
2025-06-05 16:40:12+02:00,0.097,0.066,,,
2025-06-05 16:40:15+02:00,0.116,0.066,,,
2025-06-05 16:40:16+02:00,,,,64.0,
2025-06-05 16:40:17+02:00,0.116,0.066,,,
2025-06-05 16:40:20+02:00,0.107,0.066,,,6.5
2025-06-05 16:40:22+02:00,0.107,0.066,,62.0,
2025-06-05 16:40:23+02:00,,,,62.0,
2025-06-05 16:40:25+02:00,0.107,0.066,,,
2025-06-05 16:40:27+02:00,0.107,0.066,,,
2025-06-05 16:40:30+02:00,0.107,0.066,,62.0,
2025-06-05 16:40:32+02:00,0.107,0.066,,,
2025-06-05 16:40:35+02:00,0.095,0.066,,,
2025-06-05 16:40:37+02:00,,,,59.0,
2025-06-05 16:40:38+02:00,0.095,0.066,,59.0,
2025-06-05 16:40:40+02:00,0.095,0.066,,,
2025-06-05 16:40:43+02:00,0.095,0.066,,,
2025-06-05 16:40:45+02:00,0.107,0.066,,,
2025-06-05 16:40:47+02:00,,,,62.0,
2025-06-05 16:40:48+02:00,0.107,0.066,,,4.0
2025-06-05 16:40:50+02:00,0.077,0.066,,,
2025-06-05 16:40:52+02:00,,,,62.0,
2025-06-05 16:40:53+02:00,0.077,0.066,,62.0,
2025-06-05 16:40:56+02:00,0.077,0.066,,,6.1
2025-06-05 16:40:58+02:00,0.099,0.066,,60.0,
2025-06-05 16:41:01+02:00,0.099,0.066,,,
2025-06-05 16:41:03+02:00,0.09,0.066,,,
2025-06-05 16:41:06+02:00,0.09,0.066,,58.0,
2025-06-05 16:41:08+02:00,0.09,0.066,,,
2025-06-05 16:41:10+02:00,,,,58.0,
2025-06-05 16:41:11+02:00,0.09,0.066,,,
2025-06-05 16:41:13+02:00,0.09,0.066,,,4.0
2025-06-05 16:41:16+02:00,0.077,0.066,,58.0,
2025-06-05 16:41:19+02:00,0.077,0.066,,57.0,
2025-06-05 16:41:21+02:00,0.077,0.066,,,
2025-06-05 16:41:23+02:00,,,,56.0,
2025-06-05 16:41:24+02:00,0.077,0.066,,,
2025-06-05 16:41:26+02:00,0.077,0.066,,,6.2
2025-06-05 16:41:29+02:00,0.12,0.066,,,
2025-06-05 16:41:31+02:00,0.12,0.066,,,
2025-06-05 16:41:32+02:00,,,,65.0,
2025-06-05 16:41:34+02:00,0.12,0.066,,,
2025-06-05 16:41:36+02:00,0.12,0.066,,,
2025-06-05 16:41:37+02:00,,,,65.0,
2025-06-05 16:41:39+02:00,0.116,0.066,,,
2025-06-05 16:41:40+02:00,,,,64.0,
2025-06-05 16:41:42+02:00,0.116,0.066,,,
2025-06-05 16:41:44+02:00,0.116,0.066,,65.0,
2025-06-05 16:41:47+02:00,0.077,0.066,,,
2025-06-05 16:41:49+02:00,0.077,0.066,,,
2025-06-05 16:41:50+02:00,,,,62.0,
2025-06-05 16:41:52+02:00,0.077,0.066,,,
2025-06-05 16:41:54+02:00,0.099,0.066,,,
2025-06-05 16:41:55+02:00,,,,60.0,
