time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 17:25:31+02:00,,,,62.0,
2025-06-05 17:25:33+02:00,0.077,0.066,,62.0,
2025-06-05 17:25:35+02:00,0.077,0.066,,,5.8
2025-06-05 17:25:37+02:00,,,,63.0,
2025-06-05 17:25:38+02:00,0.097,0.066,,,
2025-06-05 17:25:40+02:00,0.097,0.066,,,
2025-06-05 17:25:42+02:00,,,,64.0,
2025-06-05 17:25:43+02:00,0.116,0.066,,,
2025-06-05 17:25:45+02:00,0.116,0.066,,,
2025-06-05 17:25:48+02:00,0.112,0.066,,,6.1
2025-06-05 17:25:51+02:00,0.112,0.066,,63.0,
2025-06-05 17:25:53+02:00,0.112,0.066,,,
2025-06-05 17:25:56+02:00,0.099,0.066,,60.0,
2025-06-05 17:25:58+02:00,0.099,0.066,,,
2025-06-05 17:26:01+02:00,0.099,0.066,,60.0,
2025-06-05 17:26:03+02:00,0.099,0.066,,,
2025-06-05 17:26:04+02:00,,,,60.0,
2025-06-05 17:26:06+02:00,0.095,0.066,,,
2025-06-05 17:26:09+02:00,0.095,0.066,,59.0,
2025-06-05 17:26:11+02:00,0.095,0.066,,,
2025-06-05 17:26:14+02:00,0.095,0.066,,,
2025-06-05 17:26:16+02:00,0.097,0.066,,61.0,
2025-06-05 17:26:17+02:00,,,,60.0,
2025-06-05 17:26:19+02:00,0.099,0.066,,,
2025-06-05 17:26:21+02:00,0.099,0.066,,,
2025-06-05 17:26:24+02:00,0.077,0.066,,,
2025-06-05 17:26:25+02:00,,,,63.0,
2025-06-05 17:26:26+02:00,0.077,0.066,,,
2025-06-05 17:26:27+02:00,,,,62.0,
2025-06-05 17:26:29+02:00,0.108,0.066,,,
2025-06-05 17:26:32+02:00,0.116,0.066,,,
2025-06-05 17:26:34+02:00,0.116,0.066,,,
2025-06-05 17:26:36+02:00,,,,64.0,
2025-06-05 17:26:37+02:00,0.116,0.066,,,
2025-06-05 17:26:39+02:00,0.104,0.066,,,
2025-06-05 17:26:40+02:00,,,,61.0,
2025-06-05 17:26:42+02:00,0.099,0.066,,,
2025-06-05 17:26:43+02:00,,,,60.0,
2025-06-05 17:26:44+02:00,0.099,0.066,,,
2025-06-05 17:26:47+02:00,0.091,0.066,,58.0,
2025-06-05 17:26:50+02:00,0.087,0.066,,,
2025-06-05 17:26:52+02:00,0.087,0.066,,57.0,
2025-06-05 17:26:55+02:00,0.087,0.066,,,
2025-06-05 17:26:57+02:00,0.082,0.066,,,
2025-06-05 17:27:00+02:00,0.082,0.066,,,
2025-06-05 17:27:01+02:00,,,,56.0,
2025-06-05 17:27:02+02:00,0.078,0.066,,,2.2
2025-06-05 17:27:04+02:00,,,,55.0,
2025-06-05 17:27:05+02:00,0.041,0.066,,,
2025-06-05 17:27:07+02:00,0.041,0.066,,,
2025-06-05 17:27:10+02:00,0.041,0.066,,54.0,
2025-06-05 17:27:13+02:00,0.041,0.066,,,
2025-06-05 17:27:15+02:00,0.041,0.066,,,
2025-06-05 17:27:16+02:00,,,,52.0,
2025-06-05 17:27:17+02:00,,,,52.0,
2025-06-05 17:27:18+02:00,0.07,0.066,,,6.5
2025-06-05 17:27:20+02:00,0.07,0.066,,,
2025-06-05 17:27:23+02:00,0.07,0.066,,,
2025-06-05 17:27:24+02:00,,,,53.0,
2025-06-05 17:27:25+02:00,0.07,0.066,,,
2025-06-05 17:27:28+02:00,0.074,0.066,,54.0,
2025-06-05 17:27:31+02:00,0.074,0.066,,,
2025-06-05 17:27:33+02:00,0.07,0.066,,,
2025-06-05 17:27:35+02:00,,,,53.0,
2025-06-05 17:27:36+02:00,0.07,0.066,,,
2025-06-05 17:27:37+02:00,,,,53.0,
2025-06-05 17:27:38+02:00,0.07,0.066,,,
2025-06-05 17:27:41+02:00,0.07,0.066,,,1.6
2025-06-05 17:27:43+02:00,0.041,0.066,,,
2025-06-05 17:27:45+02:00,,,,54.0,
2025-06-05 17:27:46+02:00,0.041,0.066,,,
2025-06-05 17:27:48+02:00,0.041,0.066,,,
2025-06-05 17:27:50+02:00,,,,53.0,
2025-06-05 17:27:51+02:00,0.041,0.066,,,
2025-06-05 17:27:54+02:00,0.041,0.066,,,
2025-06-05 17:27:55+02:00,,,,54.0,
2025-06-05 17:27:56+02:00,0.041,0.066,,,
2025-06-05 17:27:58+02:00,,,,55.0,
2025-06-05 17:27:59+02:00,0.041,0.066,,,
2025-06-05 17:28:01+02:00,0.041,0.066,,,
2025-06-05 17:28:03+02:00,,,,55.0,
2025-06-05 17:28:04+02:00,0.041,0.066,,,
2025-06-05 17:28:06+02:00,0.041,0.066,,,
2025-06-05 17:28:09+02:00,0.041,0.066,,,6.3
2025-06-05 17:28:11+02:00,0.082,0.066,,56.0,
2025-06-05 17:28:14+02:00,0.082,0.066,,,
2025-06-05 17:28:16+02:00,,,,56.0,
2025-06-05 17:28:17+02:00,0.082,0.066,,,
2025-06-05 17:28:19+02:00,0.082,0.066,,,
2025-06-05 17:28:21+02:00,,,,56.0,
2025-06-05 17:28:22+02:00,0.082,0.066,,56.0,
2025-06-05 17:28:24+02:00,0.082,0.066,,,
2025-06-05 17:28:27+02:00,0.082,0.066,,,
2025-06-05 17:28:29+02:00,0.082,0.066,,56.0,
2025-06-05 17:28:32+02:00,0.082,0.066,,,
2025-06-05 17:28:35+02:00,0.091,0.066,,,
2025-06-05 17:28:36+02:00,,,,58.0,
2025-06-05 17:28:37+02:00,0.091,0.066,,,
2025-06-05 17:28:40+02:00,0.091,0.066,,,
2025-06-05 17:28:41+02:00,,,,58.0,
2025-06-05 17:28:42+02:00,0.091,0.066,,,
2025-06-05 17:28:45+02:00,0.077,0.066,,58.0,4.5
2025-06-05 17:28:47+02:00,0.077,0.066,,58.0,
2025-06-05 17:28:50+02:00,0.077,0.066,,,
2025-06-05 17:28:52+02:00,0.077,0.066,,61.0,
2025-06-05 17:28:55+02:00,0.097,0.066,,,
2025-06-05 17:28:58+02:00,0.097,0.066,,,5.7
2025-06-05 17:28:59+02:00,,,,68.0,
2025-06-05 17:29:00+02:00,0.133,0.066,,,
